Step 85/300: V_g=0.0247492: 41 iterations, reldev=1894.64, DIVERGED!!!
Step 86/300: V_g=0.0274247: 14 iterations, reldev=0.425552, converged!
Step 87/300: V_g=0.0301003: 14 iterations, reldev=0.137156, converged!
Step 88/300: V_g=0.0327759: 14 iterations, reldev=0.429654, converged!
Step 89/300: V_g=0.0354515: 14 iterations, reldev=0.189729, converged!
Step 90/300: V_g=0.0381271: 14 iterations, reldev=0.155357, converged!
Step 91/300: V_g=0.0408027: 14 iterations, reldev=0.127805, converged!
Step 92/300: V_g=0.0434783: 14 iterations, reldev=0.154428, converged!
Step 93/300: V_g=0.0461538: 14 iterations, reldev=0.135651, converged!
Step 94/300: V_g=0.0488294: 41 iterations, reldev=50.3614, DIVERGED!!!
Step 95/300: V_g=0.051505: 15 iterations, reldev=0.328857, converged!
Step 96/300: V_g=0.0541806: 13 iterations, reldev=0.911625, converged!
Step 97/300: V_g=0.0568562: 14 iterations, reldev=0.184355, converged!
Step 98/300: V_g=0.0595318: 14 iterations, reldev=0.173195, converged!
Step 99/300: V_g=0.0622074: 14 iterations, reldev=0.186122, converged!
Step 100/300: V_g=0.0648829: 14 iterations, reldev=0.232128, converged!
Step 101/300: V_g=0.0675585: 13 iterations, reldev=0.925726, converged!
Step 102/300: V_g=0.0702341: 41 iterations, reldev=683250, DIVERGED!!!
Step 103/300: V_g=0.0729097: 41 iterations, reldev=8.21995e+06, DIVERGED!!!
Step 104/300: V_g=0.0755853: 41 iterations, reldev=6.93682e+06, DIVERGED!!!
Step 105/300: V_g=0.0782609: 41 iterations, reldev=1.24492e+07, DIVERGED!!!
Step 106/300: V_g=0.0809365: 41 iterations, reldev=1.34658e+07, DIVERGED!!!
Step 107/300: V_g=0.083612: 17 iterations, reldev=0.298917, converged!
Step 108/300: V_g=0.0862876: 13 iterations, reldev=0.854211, converged!
Step 109/300: V_g=0.0889632: 13 iterations, reldev=0.558424, converged!
Step 110/300: V_g=0.0916388: 13 iterations, reldev=0.577986, converged!
Step 111/300: V_g=0.0943144: 13 iterations, reldev=0.567476, converged!
Step 112/300: V_g=0.09699: 13 iterations, reldev=0.605738, converged!
Step 113/300: V_g=0.0996656: 13 iterations, reldev=0.663808, converged!
Step 114/300: V_g=0.102341: 13 iterations, reldev=0.714848, converged!
Step 115/300: V_g=0.105017: 13 iterations, reldev=0.745295, converged!
Step 116/300: V_g=0.107692: 13 iterations, reldev=0.756151, converged!
Step 117/300: V_g=0.110368: 13 iterations, reldev=0.7486, converged!
Step 118/300: V_g=0.113043: 13 iterations, reldev=0.749786, converged!
Step 119/300: V_g=0.115719: 13 iterations, reldev=0.754, converged!
Step 120/300: V_g=0.118395: 13 iterations, reldev=0.788333, converged!
Step 121/300: V_g=0.12107: 13 iterations, reldev=0.843879, converged!
Step 122/300: V_g=0.123746: 13 iterations, reldev=0.90493, converged!
Step 123/300: V_g=0.126421: 13 iterations, reldev=0.962491, converged!
Step 124/300: V_g=0.129097: 14 iterations, reldev=0.261644, converged!
Step 125/300: V_g=0.131773: 14 iterations, reldev=0.269243, converged!
Step 126/300: V_g=0.134448: 14 iterations, reldev=0.277972, converged!
Step 127/300: V_g=0.137124: 14 iterations, reldev=0.287529, converged!
Step 128/300: V_g=0.139799: 14 iterations, reldev=0.298185, converged!
Step 129/300: V_g=0.142475: 14 iterations, reldev=0.305685, converged!
Step 130/300: V_g=0.145151: 14 iterations, reldev=0.308944, converged!
Step 131/300: V_g=0.147826: 14 iterations, reldev=0.305607, converged!
Step 132/300: V_g=0.150502: 14 iterations, reldev=0.30622, converged!
Step 133/300: V_g=0.153177: 14 iterations, reldev=0.303727, converged!
Step 134/300: V_g=0.155853: 14 iterations, reldev=0.410019, converged!
Step 135/300: V_g=0.158528: 14 iterations, reldev=0.305033, converged!
Step 136/300: V_g=0.161204: 14 iterations, reldev=0.318535, converged!
Step 137/300: V_g=0.16388: 14 iterations, reldev=0.294012, converged!
Step 138/300: V_g=0.166555: 14 iterations, reldev=0.324672, converged!
Step 139/300: V_g=0.169231: 14 iterations, reldev=0.327071, converged!
Step 140/300: V_g=0.171906: 14 iterations, reldev=0.329229, converged!
Step 141/300: V_g=0.174582: 14 iterations, reldev=0.333759, converged!
Step 142/300: V_g=0.177258: 14 iterations, reldev=0.337071, converged!
Step 143/300: V_g=0.179933: 14 iterations, reldev=0.337135, converged!
Step 144/300: V_g=0.182609: 14 iterations, reldev=0.336716, converged!
Step 145/300: V_g=0.185284: 14 iterations, reldev=0.332883, converged!
Step 146/300: V_g=0.18796: 14 iterations, reldev=0.330752, converged!
Step 147/300: V_g=0.190635: 14 iterations, reldev=0.324191, converged!
Step 148/300: V_g=0.193311: 14 iterations, reldev=0.320147, converged!
Step 149/300: V_g=0.195987: 14 iterations, reldev=0.312179, converged!
Step 150/300: V_g=0.198662: 14 iterations, reldev=0.30196, converged!
Step 151/300: V_g=0.201338: 14 iterations, reldev=0.307884, converged!
Step 152/300: V_g=0.204013: 14 iterations, reldev=0.303084, converged!
Step 153/300: V_g=0.206689: 14 iterations, reldev=0.303481, converged!
Step 154/300: V_g=0.209365: 14 iterations, reldev=0.304046, converged!
Step 155/300: V_g=0.21204: 14 iterations, reldev=0.303431, converged!
Step 156/300: V_g=0.214716: 14 iterations, reldev=0.301505, converged!
Step 157/300: V_g=0.217391: 14 iterations, reldev=0.299544, converged!
Step 158/300: V_g=0.220067: 14 iterations, reldev=0.296455, converged!
Step 159/300: V_g=0.222742: 14 iterations, reldev=0.292058, converged!
Step 160/300: V_g=0.225418: 14 iterations, reldev=0.286182, converged!
Step 161/300: V_g=0.228094: 14 iterations, reldev=0.279634, converged!
Step 162/300: V_g=0.230769: 14 iterations, reldev=0.288894, converged!
Step 163/300: V_g=0.233445: 13 iterations, reldev=0.973572, converged!
Step 164/300: V_g=0.23612: 13 iterations, reldev=0.990731, converged!
Step 165/300: V_g=0.238796: 14 iterations, reldev=0.376465, converged!
Step 166/300: V_g=0.241472: 14 iterations, reldev=0.357279, converged!
Step 167/300: V_g=0.244147: 13 iterations, reldev=0.973075, converged!
Step 168/300: V_g=0.246823: 13 iterations, reldev=0.946585, converged!
Step 169/300: V_g=0.249498: 14 iterations, reldev=0.394099, converged!
Step 170/300: V_g=0.252174: 14 iterations, reldev=0.443131, converged!
Step 171/300: V_g=0.254849: 14 iterations, reldev=0.543239, converged!
Step 172/300: V_g=0.257525: 14 iterations, reldev=0.588603, converged!
Step 173/300: V_g=0.260201: 14 iterations, reldev=0.660883, converged!
Step 174/300: V_g=0.262876: 14 iterations, reldev=0.75307, converged!
Step 175/300: V_g=0.265552: 14 iterations, reldev=0.753735, converged!
Step 176/300: V_g=0.268227: 14 iterations, reldev=0.880166, converged!
Step 177/300: V_g=0.270903: 14 iterations, reldev=0.916105, converged!
Step 178/300: V_g=0.273579: 15 iterations, reldev=0.160491, converged!
Step 179/300: V_g=0.276254: 15 iterations, reldev=0.174159, converged!
Step 180/300: V_g=0.27893: 15 iterations, reldev=0.164995, converged!
Step 181/300: V_g=0.281605: 15 iterations, reldev=0.174637, converged!
Step 182/300: V_g=0.284281: 15 iterations, reldev=0.188588, converged!
Step 183/300: V_g=0.286957: 15 iterations, reldev=0.183622, converged!
Step 184/300: V_g=0.289632: 15 iterations, reldev=0.194924, converged!
Step 185/300: V_g=0.292308: 15 iterations, reldev=0.223755, converged!
Step 186/300: V_g=0.294983: 15 iterations, reldev=0.232067, converged!
Step 187/300: V_g=0.297659: 15 iterations, reldev=0.238009, converged!
Step 188/300: V_g=0.300334: 15 iterations, reldev=0.276147, converged!
Step 189/300: V_g=0.30301: 15 iterations, reldev=0.312885, converged!
Step 190/300: V_g=0.305686: 15 iterations, reldev=0.318927, converged!
Step 191/300: V_g=0.308361: 15 iterations, reldev=0.304314, converged!
Step 192/300: V_g=0.311037: 15 iterations, reldev=0.28996, converged!
Step 193/300: V_g=0.313712: 15 iterations, reldev=0.30458, converged!
Step 194/300: V_g=0.316388: 15 iterations, reldev=0.303232, converged!
Step 195/300: V_g=0.319064: 15 iterations, reldev=0.285144, converged!
Step 196/300: V_g=0.321739: 15 iterations, reldev=0.220307, converged!
Step 197/300: V_g=0.324415: 15 iterations, reldev=0.25692, converged!
Step 198/300: V_g=0.32709: 15 iterations, reldev=0.404748, converged!
Step 199/300: V_g=0.329766: 15 iterations, reldev=0.444197, converged!
Step 200/300: V_g=0.332441: 15 iterations, reldev=0.459701, converged!
Step 201/300: V_g=0.335117: 15 iterations, reldev=0.446477, converged!
Step 202/300: V_g=0.337793: 15 iterations, reldev=0.41161, converged!
Step 203/300: V_g=0.340468: 15 iterations, reldev=0.381647, converged!
Step 204/300: V_g=0.343144: 15 iterations, reldev=0.372524, converged!
Step 205/300: V_g=0.345819: 15 iterations, reldev=0.359899, converged!
Step 206/300: V_g=0.348495: 15 iterations, reldev=0.344692, converged!
Step 207/300: V_g=0.351171: 15 iterations, reldev=0.331472, converged!
Step 208/300: V_g=0.353846: 15 iterations, reldev=0.31052, converged!
Step 209/300: V_g=0.356522: 15 iterations, reldev=0.285961, converged!
Step 210/300: V_g=0.359197: 15 iterations, reldev=0.254393, converged!
Step 211/300: V_g=0.361873: 14 iterations, reldev=0.882392, converged!
Step 212/300: V_g=0.364548: 14 iterations, reldev=0.715347, converged!
Step 213/300: V_g=0.367224: 14 iterations, reldev=0.572096, converged!
Step 214/300: V_g=0.3699: 14 iterations, reldev=0.745539, converged!
Step 215/300: V_g=0.372575: 14 iterations, reldev=0.74982, converged!
Step 216/300: V_g=0.375251: 14 iterations, reldev=0.913858, converged!
Step 217/300: V_g=0.377926: 15 iterations, reldev=0.0921193, converged!
Step 218/300: V_g=0.380602: 15 iterations, reldev=0.0941301, converged!
Step 219/300: V_g=0.383278: 15 iterations, reldev=0.102244, converged!
Step 220/300: V_g=0.385953: 15 iterations, reldev=0.111736, converged!
Step 221/300: V_g=0.388629: 14 iterations, reldev=0.989829, converged!
Step 222/300: V_g=0.391304: 15 iterations, reldev=0.137935, converged!
Step 223/300: V_g=0.39398: 15 iterations, reldev=0.147547, converged!
Step 224/300: V_g=0.396656: 15 iterations, reldev=0.164237, converged!
Step 225/300: V_g=0.399331: 15 iterations, reldev=0.175666, converged!
