Step 86/300: V_g=0.0274247: 13 iterations, reldev=0.608033, converged!
Step 87/300: V_g=0.0301003: 13 iterations, reldev=0.646265, converged!
Step 88/300: V_g=0.0327759: 13 iterations, reldev=0.647421, converged!
Step 89/300: V_g=0.0354515: 13 iterations, reldev=0.637519, converged!
Step 90/300: V_g=0.0381271: 13 iterations, reldev=0.632188, converged!
Step 91/300: V_g=0.0408027: 13 iterations, reldev=0.64789, converged!
Step 92/300: V_g=0.0434783: 13 iterations, reldev=0.598135, converged!
Step 93/300: V_g=0.0461538: 13 iterations, reldev=0.568806, converged!
Step 94/300: V_g=0.0488294: 13 iterations, reldev=0.574846, converged!
Step 95/300: V_g=0.051505: 13 iterations, reldev=0.589865, converged!
Step 96/300: V_g=0.0541806: 13 iterations, reldev=0.60509, converged!
Step 97/300: V_g=0.0568562: 13 iterations, reldev=0.573815, converged!
Step 98/300: V_g=0.0595318: 13 iterations, reldev=0.617664, converged!
Step 99/300: V_g=0.0622074: 13 iterations, reldev=0.626189, converged!
Step 100/300: V_g=0.0648829: 13 iterations, reldev=0.751109, converged!
Step 101/300: V_g=0.0675585: 13 iterations, reldev=0.647775, converged!
Step 102/300: V_g=0.0702341: 13 iterations, reldev=0.644896, converged!
Step 103/300: V_g=0.0729097: 13 iterations, reldev=0.642698, converged!
Step 104/300: V_g=0.0755853: 13 iterations, reldev=0.555593, converged!
Step 105/300: V_g=0.0782609: 13 iterations, reldev=0.589191, converged!
Step 106/300: V_g=0.0809365: 13 iterations, reldev=0.612886, converged!
Step 107/300: V_g=0.083612: 13 iterations, reldev=0.560639, converged!
Step 108/300: V_g=0.0862876: 13 iterations, reldev=0.594375, converged!
Step 109/300: V_g=0.0889632: 13 iterations, reldev=0.555257, converged!
Step 110/300: V_g=0.0916388: 13 iterations, reldev=0.583399, converged!
Step 111/300: V_g=0.0943144: 13 iterations, reldev=0.604415, converged!
Step 112/300: V_g=0.09699: 13 iterations, reldev=0.656185, converged!
Step 113/300: V_g=0.0996656: 13 iterations, reldev=0.598957, converged!
Step 114/300: V_g=0.102341: 13 iterations, reldev=0.615568, converged!
Step 115/300: V_g=0.105017: 13 iterations, reldev=0.549067, converged!
Step 116/300: V_g=0.107692: 13 iterations, reldev=0.652448, converged!
Step 117/300: V_g=0.110368: 13 iterations, reldev=0.738164, converged!
Step 118/300: V_g=0.113043: 13 iterations, reldev=0.896172, converged!
Step 119/300: V_g=0.115719: 13 iterations, reldev=0.545892, converged!
Step 120/300: V_g=0.118395: 13 iterations, reldev=0.550152, converged!
Step 121/300: V_g=0.12107: 13 iterations, reldev=0.585343, converged!
Step 122/300: V_g=0.123746: 13 iterations, reldev=0.590043, converged!
Step 123/300: V_g=0.126421: 13 iterations, reldev=0.644242, converged!
Step 124/300: V_g=0.129097: 13 iterations, reldev=0.588029, converged!
Step 125/300: V_g=0.131773: 13 iterations, reldev=0.525012, converged!
