Step 83/300: V_g=0.019398: 14 iterations, reldev=0.95472, converged!
Step 84/300: V_g=0.0220736: 14 iterations, reldev=0.188362, converged!
Step 85/300: V_g=0.0247492: 14 iterations, reldev=0.637317, converged!
Step 86/300: V_g=0.0274247: 14 iterations, reldev=0.162127, converged!
Step 87/300: V_g=0.0301003: 14 iterations, reldev=0.379727, converged!
Step 88/300: V_g=0.0327759: 14 iterations, reldev=0.207209, converged!
Step 89/300: V_g=0.0354515: 14 iterations, reldev=0.477222, converged!
Step 90/300: V_g=0.0381271: 14 iterations, reldev=0.691369, converged!
Step 91/300: V_g=0.0408027: 14 iterations, reldev=0.570304, converged!
Step 92/300: V_g=0.0434783: 14 iterations, reldev=0.25802, converged!
Step 93/300: V_g=0.0461538: 14 iterations, reldev=0.164715, converged!
Step 94/300: V_g=0.0488294: 13 iterations, reldev=0.770064, converged!
Step 95/300: V_g=0.051505: 14 iterations, reldev=0.173475, converged!
Step 96/300: V_g=0.0541806: 14 iterations, reldev=0.400063, converged!
Step 97/300: V_g=0.0568562: 14 iterations, reldev=0.257879, converged!
Step 98/300: V_g=0.0595318: 14 iterations, reldev=0.343832, converged!
Step 99/300: V_g=0.0622074: 14 iterations, reldev=0.223015, converged!
Step 100/300: V_g=0.0648829: 14 iterations, reldev=0.370591, converged!
Step 101/300: V_g=0.0675585: 14 iterations, reldev=0.835477, converged!
Step 102/300: V_g=0.0702341: 14 iterations, reldev=0.422845, converged!
Step 103/300: V_g=0.0729097: 14 iterations, reldev=0.173685, converged!
Step 104/300: V_g=0.0755853: 13 iterations, reldev=0.847781, converged!
Step 105/300: V_g=0.0782609: 14 iterations, reldev=0.246087, converged!
Step 106/300: V_g=0.0809365: 14 iterations, reldev=0.305873, converged!
Step 107/300: V_g=0.083612: 14 iterations, reldev=0.438493, converged!
Step 108/300: V_g=0.0862876: 13 iterations, reldev=0.738804, converged!
Step 109/300: V_g=0.0889632: 13 iterations, reldev=0.756689, converged!
Step 110/300: V_g=0.0916388: 14 iterations, reldev=0.19395, converged!
Step 111/300: V_g=0.0943144: 14 iterations, reldev=0.645271, converged!
Step 112/300: V_g=0.09699: 14 iterations, reldev=0.315979, converged!
Step 113/300: V_g=0.0996656: 14 iterations, reldev=0.162417, converged!
Step 114/300: V_g=0.102341: 14 iterations, reldev=0.161823, converged!
Step 115/300: V_g=0.105017: 13 iterations, reldev=0.549812, converged!
Step 116/300: V_g=0.107692: 13 iterations, reldev=0.94033, converged!
Step 117/300: V_g=0.110368: 14 iterations, reldev=0.310757, converged!
Step 118/300: V_g=0.113043: 13 iterations, reldev=0.590699, converged!
Step 119/300: V_g=0.115719: 13 iterations, reldev=0.614097, converged!
Step 120/300: V_g=0.118395: 14 iterations, reldev=0.386568, converged!
Step 121/300: V_g=0.12107: 14 iterations, reldev=0.213479, converged!
Step 122/300: V_g=0.123746: 14 iterations, reldev=0.205201, converged!
Step 123/300: V_g=0.126421: 14 iterations, reldev=0.263189, converged!
Step 124/300: V_g=0.129097: 13 iterations, reldev=0.60452, converged!
Step 125/300: V_g=0.131773: 14 iterations, reldev=0.301719, converged!
Step 126/300: V_g=0.134448: 14 iterations, reldev=0.300425, converged!
Step 127/300: V_g=0.137124: 14 iterations, reldev=0.331479, converged!
Step 128/300: V_g=0.139799: 14 iterations, reldev=0.398929, converged!
Step 129/300: V_g=0.142475: 14 iterations, reldev=0.462538, converged!
Step 130/300: V_g=0.145151: 13 iterations, reldev=0.752285, converged!
Step 131/300: V_g=0.147826: 13 iterations, reldev=0.628898, converged!
Step 132/300: V_g=0.150502: 13 iterations, reldev=0.536944, converged!
Step 133/300: V_g=0.153177: 13 iterations, reldev=0.67616, converged!
Step 134/300: V_g=0.155853: 13 iterations, reldev=0.550523, converged!
Step 135/300: V_g=0.158528: 13 iterations, reldev=0.428987, converged!
Step 136/300: V_g=0.161204: 13 iterations, reldev=0.736072, converged!
Step 137/300: V_g=0.16388: 14 iterations, reldev=0.381445, converged!
Step 138/300: V_g=0.166555: 14 iterations, reldev=0.428481, converged!
Step 139/300: V_g=0.169231: 14 iterations, reldev=0.314152, converged!
Step 140/300: V_g=0.171906: 14 iterations, reldev=0.310524, converged!
Step 141/300: V_g=0.174582: 13 iterations, reldev=0.81716, converged!
Step 142/300: V_g=0.177258: 13 iterations, reldev=0.7427, converged!
Step 143/300: V_g=0.179933: 13 iterations, reldev=0.933711, converged!
Step 144/300: V_g=0.182609: 14 iterations, reldev=0.247985, converged!
Step 145/300: V_g=0.185284: 14 iterations, reldev=0.261759, converged!
Step 146/300: V_g=0.18796: 13 iterations, reldev=0.966412, converged!
Step 147/300: V_g=0.190635: 14 iterations, reldev=0.226282, converged!
Step 148/300: V_g=0.193311: 14 iterations, reldev=0.226113, converged!
Step 149/300: V_g=0.195987: 14 iterations, reldev=0.253195, converged!
Step 150/300: V_g=0.198662: 14 iterations, reldev=0.317379, converged!
Step 151/300: V_g=0.201338: 14 iterations, reldev=0.326157, converged!
Step 152/300: V_g=0.204013: 14 iterations, reldev=0.287053, converged!
Step 153/300: V_g=0.206689: 14 iterations, reldev=0.368654, converged!
Step 154/300: V_g=0.209365: 14 iterations, reldev=0.360963, converged!
Step 155/300: V_g=0.21204: 14 iterations, reldev=0.391938, converged!
Step 156/300: V_g=0.214716: 14 iterations, reldev=0.377075, converged!
Step 157/300: V_g=0.217391: 14 iterations, reldev=0.397079, converged!
Step 158/300: V_g=0.220067: 13 iterations, reldev=0.782246, converged!
Step 159/300: V_g=0.222742: 13 iterations, reldev=0.695857, converged!
Step 160/300: V_g=0.225418: 13 iterations, reldev=0.731379, converged!
Step 161/300: V_g=0.228094: 13 iterations, reldev=0.738932, converged!
Step 162/300: V_g=0.230769: 13 iterations, reldev=0.731238, converged!
Step 163/300: V_g=0.233445: 13 iterations, reldev=0.807957, converged!
Step 164/300: V_g=0.23612: 13 iterations, reldev=0.978264, converged!
Step 165/300: V_g=0.238796: 14 iterations, reldev=0.303512, converged!
Step 166/300: V_g=0.241472: 14 iterations, reldev=0.27578, converged!
Step 167/300: V_g=0.244147: 14 iterations, reldev=0.231206, converged!
Step 168/300: V_g=0.246823: 14 iterations, reldev=0.243571, converged!
Step 169/300: V_g=0.249498: 14 iterations, reldev=0.263737, converged!
Step 170/300: V_g=0.252174: 14 iterations, reldev=0.276357, converged!
Step 171/300: V_g=0.254849: 14 iterations, reldev=0.297197, converged!
Step 172/300: V_g=0.257525: 14 iterations, reldev=0.308776, converged!
Step 173/300: V_g=0.260201: 14 iterations, reldev=0.327537, converged!
Step 174/300: V_g=0.262876: 14 iterations, reldev=0.333125, converged!
Step 175/300: V_g=0.265552: 14 iterations, reldev=0.359018, converged!
Step 176/300: V_g=0.268227: 14 iterations, reldev=0.396014, converged!
Step 177/300: V_g=0.270903: 14 iterations, reldev=0.435076, converged!
Step 178/300: V_g=0.273579: 14 iterations, reldev=0.431693, converged!
Step 179/300: V_g=0.276254: 14 iterations, reldev=0.434284, converged!
Step 180/300: V_g=0.27893: 14 iterations, reldev=0.675862, converged!
Step 181/300: V_g=0.281605: 14 iterations, reldev=0.600582, converged!
Step 182/300: V_g=0.284281: 14 iterations, reldev=0.829661, converged!
Step 183/300: V_g=0.286957: 15 iterations, reldev=0.836025, converged!
Step 184/300: V_g=0.289632: 15 iterations, reldev=0.458008, converged!
Step 185/300: V_g=0.292308: 15 iterations, reldev=0.590524, converged!
Step 186/300: V_g=0.294983: 15 iterations, reldev=0.483504, converged!
Step 187/300: V_g=0.297659: 15 iterations, reldev=0.976518, converged!
Step 188/300: V_g=0.300334: 15 iterations, reldev=0.698474, converged!
Step 189/300: V_g=0.30301: 15 iterations, reldev=0.755384, converged!
Step 190/300: V_g=0.305686: 15 iterations, reldev=0.69088, converged!
Step 191/300: V_g=0.308361: 15 iterations, reldev=0.610439, converged!
Step 192/300: V_g=0.311037: 15 iterations, reldev=0.517467, converged!
Step 193/300: V_g=0.313712: 15 iterations, reldev=0.481235, converged!
Step 194/300: V_g=0.316388: 15 iterations, reldev=0.416743, converged!
Step 195/300: V_g=0.319064: 15 iterations, reldev=0.402132, converged!
Step 196/300: V_g=0.321739: 15 iterations, reldev=0.427304, converged!
Step 197/300: V_g=0.324415: 15 iterations, reldev=0.386487, converged!
Step 198/300: V_g=0.32709: 15 iterations, reldev=0.363991, converged!
Step 199/300: V_g=0.329766: 15 iterations, reldev=0.330355, converged!
Step 200/300: V_g=0.332441: 15 iterations, reldev=0.331382, converged!
Step 201/300: V_g=0.335117: 15 iterations, reldev=0.383414, converged!
Step 202/300: V_g=0.337793: 15 iterations, reldev=0.399141, converged!
Step 203/300: V_g=0.340468: 15 iterations, reldev=0.357318, converged!
Step 204/300: V_g=0.343144: 15 iterations, reldev=0.404583, converged!
Step 205/300: V_g=0.345819: 15 iterations, reldev=0.492891, converged!
Step 206/300: V_g=0.348495: 15 iterations, reldev=0.405069, converged!
Step 207/300: V_g=0.351171: 15 iterations, reldev=0.359412, converged!
Step 208/300: V_g=0.353846: 15 iterations, reldev=0.398756, converged!
Step 209/300: V_g=0.356522: 15 iterations, reldev=0.382283, converged!
Step 210/300: V_g=0.359197: 15 iterations, reldev=0.413988, converged!
Step 211/300: V_g=0.361873: 15 iterations, reldev=0.385266, converged!
Step 212/300: V_g=0.364548: 15 iterations, reldev=0.37471, converged!
Step 213/300: V_g=0.367224: 15 iterations, reldev=0.363514, converged!
Step 214/300: V_g=0.3699: 15 iterations, reldev=0.360947, converged!
Step 215/300: V_g=0.372575: 15 iterations, reldev=0.322654, converged!
Step 216/300: V_g=0.375251: 15 iterations, reldev=0.325493, converged!
Step 217/300: V_g=0.377926: 15 iterations, reldev=0.314852, converged!
Step 218/300: V_g=0.380602: 15 iterations, reldev=0.306587, converged!
Step 219/300: V_g=0.383278: 15 iterations, reldev=0.532131, converged!
Step 220/300: V_g=0.385953: 14 iterations, reldev=0.995751, converged!
Step 221/300: V_g=0.388629: 14 iterations, reldev=0.958076, converged!
